,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,530104,-,-,-,43.77,-103.22,-7,1068,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
1,Year,Month,Day,Hour,Minute,Dew Point,GHI,Temperature,Wind Direction,Surface Albedo,DHI,DNI,Pressure,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2000,1,1,0,30,-6.1000000000000005,0,-3,137,0.19,0,0,891,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2000,1,1,1,30,-6.300000000000001,0,-3.7,152,0.19,0,0,890,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2000,1,1,2,30,-6.4,0,-4.1000000000000005,162,0.19,0,0,890,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2000,1,1,3,30,-6.4,0,-4.4,166,0.19,0,0,889,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2000,1,1,4,30,-6.5,0,-4.5,164,0.19,0,0,888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2000,1,1,5,30,-6.6000000000000005,0,-4.5,160,0.19,0,0,888,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2000,1,1,6,30,-6.7,0,-4,152,0.19,0,0,887,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2000,1,1,7,30,-6.7,0,-2.9000000000000004,154,0.19,0,0,887,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2000,1,1,8,30,-6.7,126,-0.9,211,0.19,29,672,887,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2000,1,1,9,30,-6.9,132,1.6,296,0.19,130,8,886,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2000,1,1,10,30,-6.9,245,4,344,0.19,211,96,886,1.9000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2000,1,1,11,30,-6.300000000000001,312,5.9,178,0.19,179,341,885,2.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2000,1,1,12,30,-5.6000000000000005,317,6.7,3,0.19,146,440,884,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2000,1,1,13,30,-5,238,6.2,7,0.19,184,157,884,2.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2000,1,1,14,30,-3.8000000000000003,152,3.9000000000000004,13,0.19,136,64,884,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2000,1,1,15,30,-3.2,43,0.9,11,0.19,43,3,885,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2000,1,1,16,30,-4.1000000000000005,0,-0.6000000000000001,181,0.19,0,0,886,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2000,1,1,17,30,-4.2,0,-0.9,347,0.19,0,0,886,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2000,1,1,18,30,-4.3,0,-1.3,333,0.19,0,0,886,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2000,1,1,19,30,-4.4,0,-1.7000000000000002,324,0.19,0,0,886,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2000,1,1,20,30,-4.5,0,-2,319,0.19,0,0,886,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2000,1,1,21,30,-4.7,0,-2.3000000000000003,317,0.19,0,0,886,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2000,1,1,22,30,-4.800000000000001,0,-2.6,316,0.19,0,0,886,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2000,1,1,23,30,-5,0,-2.7,313,0.19,0,0,886,1.7000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2000,1,2,0,30,-5.1000000000000005,0,-2.7,309,0.19,0,0,887,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2000,1,2,1,30,-5.2,0,-2.6,307,0.19,0,0,887,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2000,1,2,2,30,-5.300000000000001,0,-2.4000000000000004,309,0.19,0,0,887,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2000,1,2,3,30,-5.4,0,-2.2,317,0.19,0,0,888,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2000,1,2,4,30,-5.6000000000000005,0,-2.2,327,0.19,0,0,888,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2000,1,2,5,30,-5.800000000000001,0,-2.2,339,0.19,0,0,888,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2000,1,2,6,30,-5.800000000000001,0,-2.3000000000000003,350,0.19,0,0,889,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2000,1,2,7,30,-5.800000000000001,0,-1.7000000000000002,190,0.19,0,0,889,0.7000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2000,1,2,8,30,-4.6000000000000005,75,-0.1,63,0.19,72,21,889,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2000,1,2,9,30,-5.2,145,1.5,116,0.19,134,41,889,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2000,1,2,10,30,-5.2,243,2.7,138,0.19,194,142,889,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2000,1,2,11,30,-5.2,255,3.6,146,0.19,215,103,888,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2000,1,2,12,30,-5.300000000000001,313,4.2,149,0.19,181,338,887,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2000,1,2,13,30,-5.2,265,4.1000000000000005,145,0.19,168,285,887,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2000,1,2,14,30,-4.7,159,2.7,134,0.19,140,72,887,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2000,1,2,15,30,-4.2,63,0.5,126,0.19,61,14,887,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2000,1,2,16,30,-4.800000000000001,0,-0.9,124,0.19,0,0,887,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2000,1,2,17,30,-5,0,-1.4000000000000001,106,0.19,0,0,888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2000,1,2,18,30,-5,0,-1.4000000000000001,214,0.19,0,0,889,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
